id	TV	antc	saldores	TC	cons	edad	ESTADO_CIVIL	SEXO	antig_pp	ingresos	endeud	riesgo	conscateg
104	0	57	216.5145452	1	2539.203959	57	2	1	18	13632.06074	0.350838155	Bajo	1
109	0	111	2360.68497	1	10364.36916	55	1	1	24	13149.50992	0.410538991	Bajo	1
114	0	29	4156.963639	1	90049.27234	52	1	1	5	21418.99264	0.346402383	Bajo	3
163	0	101	13391.90737	1	25016.52416	38	2	1	11	39010.05809	0.519227773	Bajo	2
179	1	81	7325.187157	1	45716.85254	28	1	1	19	36056.75425	0.255836122	Bajo	2
1062	0	17	11539.59508	1	89931.86306	56	1	2	12	58284.25152	0.428411416	Bajo	3
1559	1	97	1634.326576	1	17736.70775	59	1	1	12	0	2978.47	Bajo	1
1574	0	63	1145.636562	1	12061.2188	59	3	1	27	34616.06165	0.213118089	Bajo	1
1615	0	114	2901.953989	1	21420.03545	59	1	2	9	16970.47725	0.225557758	Bajo	2
1635	1	114	5720.690077	1	34638.94856	59	2	1	34	34921.13585	0.264352101	Bajo	2
1638	0	10	25631.80704	1	80081.71739	59	3	1	10	27774.51177	0.527750167	Bajo	3
1640	0	114	17363.5415	1	58711.74912	59	2	1	14	18176.8543	0.583917039	Bajo	3
1656	1	114	17168.15229	1	89709.09301	59	2	2	21	50269.96394	0.470604334	Bajo	3
1657	1	33	3699.351909	1	16724.73976	59	1	1	33	93120.70898	0.114846035	Bajo	1
1668	1	104	11060.11799	1	26894.13598	59	1	2	13	51425.30197	0.324264092	Bajo	2
1670	0	22	2179.009321	1	8015.223927	59	1	2	21	7273.061677	0.498122807	Bajo	1
1678	1	111	221.8218977	1	18953.42312	59	2	1	1	47719.17245	0.315296077	Bajo	1
1694	1	35	17017.44198	1	74970.8294	59	2	2	11	72658.69814	0.243905457	Bajo	3
1700	1	46	15738.3469	1	78388.49849	59	1	2	8	66126.86236	0.247630642	Bajo	3
1711	0	28	10343.64852	1	51256.32948	59	2	1	23	22288.9761	0.459115275	Bajo	3
1726	1	65	9197.746011	1	86900.78662	59	1	2	39	42779.98639	0.402053959	Bajo	3
1744	1	104	9083.678402	1	78305.08402	59	1	2	5	42565.39047	0.2319534	Bajo	3
1753	0	95	7396.553127	1	47893.84992	59	1	2	12	20892.36266	0.289530287	Bajo	2
1756	1	51	65384.62912	1	126631.0033	59	2	1	33	47375.81898	0.053533128	Bajo	4
1762	0	113	15168.72575	1	84877.50589	59	2	2	8	25405.83682	0.516494384	Bajo	3
1764	1	104	18151.5735	1	125538.845	58	2	1	31	33073.29099	0.386556888	Bajo	4
1769	0	109	6093.962309	1	24758.51051	59	1	2	32	34815.57786	0.305574399	Bajo	2
1772	1	104	12509.96182	1	106178.1779	59	2	2	12	56561.68428	0.33758475	Bajo	4
1776	0	107	14797.31513	1	63189.95213	58	3	2	32	31276.48517	0.316509661	Bajo	3
1777	0	10	5088.08603	1	19884.54551	58	2	1	12	15380.14749	0.552371974	Bajo	1
1781	0	112	22417.78304	1	55520.93178	58	3	2	8	27808.15113	0.466894006	Bajo	3
1785	0	51	12066.84992	1	68368.99161	58	1	1	36	30376.34229	0.271098255	Bajo	3
1786	1	113	13770.07069	1	69292.85253	59	2	1	5	48670.35436	0.191815864	Bajo	3
1790	1	45	1185.655619	1	57257.36109	59	1	2	11	39297.73261	0.379380129	Bajo	3
1793	0	39	6041.166292	1	39258.54453	59	1	2	7	15572.70383	0.522866294	Bajo	2
1795	1	114	873.2618423	1	976.2522323	59	2	1	13	67227.68143	0.192767789	Bajo	1
1803	1	47	16977.42293	1	167574.8693	56	1	2	16	73594.80033	0.615248956	Bajo	4
1813	0	83	35765.1734	1	123611.3163	59	2	2	14	48599.59571	0.501491276	Bajo	4
1816	0	33	27292.54587	1	113898.9421	58	2	2	5	47948.84808	0.473881363	Bajo	4
1819	1	113	8816.969483	1	50545.88426	59	1	2	6	30593.25816	0.527599909	Bajo	3
1829	0	114	207.5880176	1	913.1768334	59	2	1	5	33205.52848	0.260557186	Bajo	1
1831	1	104	3909.044367	1	17747.04686	59	3	2	8	46252.96034	0.113989066	Bajo	1
1841	1	112	7221.953947	1	60106.45778	59	3	2	16	50008.9689	0.255204583	Bajo	3
1856	0	113	5337.716605	1	41046.38231	59	1	2	24	30177.98606	0.291251922	Bajo	2
1859	1	114	6594.981014	1	30801.2956	57	2	2	5	33592.96111	0.401428177	Bajo	2
1862	0	52	4578.557061	1	28392.37038	59	1	2	29	8326.321645	0.597393424	Bajo	2
1864	1	67	8487.624554	1	109809.4246	58	1	2	5	54507.36335	0.454824644	Bajo	4
1867	0	114	5459.126631	1	21213.30308	59	2	1	12	45089.50246	0.200281701	Bajo	2
1870	0	17	28383.24729	1	37398.20761	59	1	2	17	27373.1594	0.323371896	Bajo	2
1879	1	114	50311.18134	1	290062.197	59	2	1	34	218267.2489	0.282711238	Bajo	4
1885	1	67	3.850432232	1	195.4123265	58	2	2	41	43349.53556	0.109393648	Bajo	1
1886	0	30	22560.34153	1	127932.1141	54	2	2	15	43575.73125	0.493728105	Bajo	4
1887	0	110	31975.86244	1	130330.5865	58	2	1	18	82871.14391	0.308986871	Bajo	4
1890	0	113	20561.90939	1	84020.87144	58	1	1	21	32978.1728	0.597398171	Bajo	3
1893	1	110	6415.687313	1	35617.51568	58	3	1	7	64276.69755	0.417832419	Bajo	2
1897	1	57	9646.33871	1	25490.47421	59	1	1	33	59644.90564	0.400483673	Bajo	2
1901	0	113	2273.454757	1	6035.812688	58	1	2	39	33682.27941	0.157130558	Bajo	1
1904	1	63	9954.512043	1	32648.84399	58	2	1	10	37496.28688	0.259883991	Bajo	2
1913	0	104	17021.03803	1	94819.0791	58	2	2	20	40236.15477	0.514341684	Bajo	3
1916	0	114	35792.26518	1	61988.3282	58	2	2	8	64925.12522	0.235652927	Bajo	3
1920	1	104	3567.835945	1	66341.06261	59	1	2	14	44138.32055	0.257844472	Bajo	3
1921	0	110	5480.87637	1	20718.21612	58	3	2	6	27603.99501	0.250749254	Bajo	2
1922	0	28	4424.875095	1	11523.70771	58	1	1	10	10708.91633	0.696755849	Bajo	1
1924	1	98	5716.041807	1	12751.42902	58	3	1	10	56243.85032	0.08078949	Bajo	1
1926	0	104	48229.48505	1	127523.5751	59	2	2	12	31115.24823	0.581751417	Bajo	4
1927	1	114	9528.06222	1	113272.2259	56	1	2	26	90739.27427	0.396878619	Bajo	4
1929	1	39	14534.82666	1	76454.19396	58	3	1	10	45991.9653	0.551181619	Bajo	3
1930	0	57	1842.05603	1	11941.02288	58	1	1	26	6802.110634	0.173848909	Bajo	1
1934	0	114	1721.316651	1	8152.451944	58	2	1	27	46806.26981	0.147810215	Bajo	1
1937	0	104	3874.772052	1	26955.41914	58	2	1	3	25209.80055	0.273278885	Bajo	2
1940	0	114	4789.509871	1	14458.04927	58	1	2	35	37547.3259	0.451976274	Bajo	1
1946	1	68	3471.424822	1	12810.76845	58	3	2	44	108626.1341	0.04889615	Bajo	1
1947	1	64	10790.49523	1	61750.86175	58	1	2	31	42781.14637	0.277595781	Bajo	3
1951	0	46	11283.40837	1	42395.77958	58	1	1	7	33855.11613	0.313420133	Bajo	2
1954	1	114	43993.06144	1	250327.8466	57	2	1	17	57333.06961	0.641849634	Bajo	4
1955	0	60	19409.12698	1	55047.21299	58	2	1	24	49923.13053	0.26793206	Bajo	3
1961	1	114	18781.85341	1	145632.2504	58	2	2	26	49529.89801	0.558841893	Bajo	4
1971	0	101	3786.13117	1	13444.79589	57	1	2	12	16751.24142	0.417469704	Bajo	1
1973	0	94	8586.024489	1	29113.91595	58	1	1	35	20076.89817	0.523475272	Bajo	2
1976	0	110	2517.442657	1	9813.317965	58	1	1	15	37518.32646	0.354203871	Bajo	1
1982	1	111	9147.933212	1	40107.98688	58	2	1	11	39606.28675	0.340484712	Bajo	2
1987	1	114	13758.98191	1	66230.47543	58	1	1	38	72314.18469	0.162986959	Bajo	3
1988	1	104	19358.60885	1	87857.752	58	2	1	38	57300.59023	0.342654561	Bajo	3
1989	0	104	6475.501986	1	67424.09785	58	2	1	7	31198.76665	0.368971594	Bajo	3
1991	1	114	13480.39793	1	82327.21315	58	2	2	10	33427.08427	0.36230246	Bajo	3
1994	1	104	16057.48182	1	90089.82329	58	2	2	25	31582.71934	0.396002865	Bajo	3
1996	0	105	16536.06858	1	104918.3466	58	2	1	0	47237.78161	0.161252364	Bajo	4
1999	1	114	693.9450163	1	102760.1007	59	1	2	33	47241.26154	0.323496783	Bajo	4
2001	0	29	7368.189432	1	20866.76418	57	1	1	33	26658.61299	0.148284745	Bajo	2
2003	1	113	10530.7009	1	61754.04154	58	1	2	8	63970.46337	0.41709509	Bajo	3
2004	1	113	5108.980118	1	8306.411419	57	1	2	31	77433.16733	0.029271355	Bajo	1
2005	1	24	6768.290321	1	108675.563	55	2	1	17	71381.8048	0.360327451	Bajo	4
2008	0	39	2630.238352	1	8049.426866	57	2	1	26	28609.69589	0.239129906	Bajo	1
2010	0	51	5536.667167	1	25623.84023	58	1	2	49	8326.321645	0.507461689	Bajo	2
2011	1	101	11990.95131	1	70113.3646	57	2	2	45	42837.98528	0.205461955	Bajo	3
2012	0	91	1997.69212	1	12535.70075	59	1	1	3	11490.74146	0.471072078	Bajo	1
2021	0	68	2269.870271	1	6804.742849	57	2	2	22	14151.73086	0.180955738	Bajo	1
2023	0	79	57371.33851	1	69562.46604	58	3	2	17	68320.38065	0.378773643	Bajo	3
2028	1	44	21383.42743	1	102788.9882	58	1	1	14	56697.4017	0.376904129	Bajo	4
2031	0	70	985.3406399	1	4232.006598	58	3	2	29	8326.321645	0.161469769	Bajo	1
2032	0	40	2363.35599	1	12371.36939	58	1	1	9	34531.38326	0.198626759	Bajo	1
2039	0	39	6197.114579	1	23497.81193	58	1	2	11	64366.01585	0.318516823	Bajo	2
2040	0	59	10313.26132	1	60297.81501	57	2	1	21	31042.16962	0.527985128	Bajo	3
2041	1	114	5819.61034	1	56413.82736	57	3	1	14	64270.89766	0.163502807	Bajo	3
2044	0	114	5664.205508	1	26369.10122	57	2	1	33	3363.936023	1.544765517	Bajo	2
2046	1	104	20888.62955	1	111142.5368	57	1	2	24	45260.01922	0.407530627	Bajo	4
2049	1	44	5814.557371	1	68270.6148	58	1	2	11	33104.6104	0.714921686	Bajo	3
